hh_g02,unit,region,kg_convwt0,kg_convwt1
101,21,1,2.95,2.95275
101,21,2,2.1,2.1
101,21,3,3.81,3.8055
101,4,1,1.93,1.933333
101,4,2,5.13,5.13225
101,4,3,5.15,5.149
101,4A,1,1.93,4.703706
101,4A,2,5.13,5.13225
101,4A,3,5.15,5.149
101,4B,1,13.72,13.7175
101,4B,2,13.72,13.7175
101,4B,3,13.72,13.7175
101,4C,1,15.19,15.186
101,4C,2,15.19,15.186
101,4C,3,15.19,15.186
101,5,1,15.19,15.186
101,5,2,15.19,15.186
101,5,3,15.19,15.186
101,6,1,,.215725
101,6,2,,.2585833
101,6,3,,.2089375
101,7,1,.35,.380451
101,7,2,.31,.3161539
101,7,3,.3,.3300741
102,21,1,7.76,7.7605
102,21,2,7.76,7.7605
102,21,3,7.76,7.7605
102,4,1,1.83,1.833333
102,4,2,5.02,5.0155
102,4,3,3.11,3.1062
102,4A,1,1.83,4.309722
102,4A,2,5.02,5.0155
102,4A,3,3.11,3.1062
102,4B,1,13.74,13.7395
102,4B,2,13.74,13.7395
102,4B,3,13.74,13.7395
102,4C,1,15.19,15.186
102,4C,2,15.19,15.186
102,4C,3,15.19,15.186
102,5,1,15.19,15.186
102,5,2,15.19,15.186
102,5,3,15.19,15.186
102,6,1,,.2138158
102,6,2,,.2168235
102,6,3,,.168
102,7,1,.33,.3704706
102,7,2,.27,.3210833
102,7,3,.24,.2661786
103,4,1,1.64,1.64
103,4,2,1.64,1.64
103,4,3,1.64,1.64
103,4A,1,1.64,1.64
103,4A,2,1.64,1.64
103,4A,3,1.64,1.64
103,4B,1,11.38,11.382
103,4B,2,11.38,11.382
103,4B,3,11.38,11.382
103,4C,1,17.67,17.66667
103,4C,2,17.67,17.66667
103,4C,3,17.67,17.66667
103,5,1,17.67,17.66667
103,5,2,17.67,17.66667
103,5,3,17.67,17.66667
104,16,1,.3,.2956667
104,16,2,.3,.2956667
104,16,3,.3,.2956667
104,21,1,4.05,4.053091
104,21,2,4.65,4.649615
104,21,3,3.67,3.66535
104,4,1,4.38,4.37875
104,4,2,4.47,4.474571
104,4,3,4.26,4.259666
104,4A,1,4.38,4.37875
104,4A,2,4.47,4.474571
104,4A,3,4.26,4.259666
104,4B,1,9.19,9.187768999999999
104,4B,2,8.41,8.407875000000001
104,4B,3,6.77,6.7745
104,4C,1,18.49,18.49158
104,4C,2,16.46,16.45706
104,4C,3,17.6,17.6025
104,5,1,18.49,18.49158
104,5,2,16.46,16.45706
104,5,3,17.6,17.6025
104,6,1,.2,.2008
104,6,2,.2,.2008
104,6,3,.2,.2008
104,7,1,.33,.3343333
104,7,2,.26,.262
104,7,3,.37,.233
105,9,1,.38,
105,9,2,.33,
105,9,3,.34,
105,9A,1,.24,.2768378
105,9A,2,.19,.2862105
105,9A,3,.24,.2323448
105,9B,1,.38,.3007073
105,9B,2,.33,.3214
105,9B,3,.34,.7053437
105,9C,1,.53,.3927
105,9C,2,.42,.432
105,9C,3,.39,.8691579
106,16,1,.62,.6225000000000001
106,16,2,.52,.5205556
106,16,3,.42,.4211333
106,21,1,4.2,4.196
106,21,2,.96,.9645
106,21,3,1.78,1.775
106,4,1,2.48,5.218584
106,4,2,2.48,5.218584
106,4,3,2.48,5.218584
106,4B,1,5.88,5.876
106,4B,2,5.88,5.876
106,4B,3,5.88,5.876
106,5,1,,16.8802
106,5,2,,16.8802
106,5,3,,16.8802
106,6,1,.13,.2412549
106,6,2,.19,.219
106,6,3,.2,.2215
106,7,1,.34,.3329103
106,7,2,.32,.4131765
106,7,3,.25,.3004428
107,16,1,.25,.247
107,16,2,.25,.247
107,16,3,.25,.247
107,21,1,4.58,4.5815
107,21,2,3.54,3.54075
107,21,3,2.5,2.5
107,6,1,.2,.1456316
107,6,2,.09,.15525
107,6,3,.11,.0857436
107,7,1,.35,.267
107,7,2,.21,.178
107,7,3,.12,.12
108,21,1,2.17,2.172
108,21,2,2.17,2.172
108,21,3,2.17,2.172
108,6,1,.16,1.094585
108,6,2,.11,1.094585
108,6,3,.17,1.094585
108,7,1,.21,1.713939
108,7,2,.11,1.713939
108,7,3,.25,1.713939
109,4,1,3.87,3.87175
109,4,2,3.87,3.87175
109,4,3,3.87,3.87175
109,4B,1,10.27,10.265
109,4B,2,10.27,10.265
109,4B,3,10.27,10.265
110,4,1,,3.27812
110,4,2,,3.27812
110,4,3,,3.27812
110,9,1,1.01,1.006833
110,9,2,.91,.91325
110,9,3,1.01,1.0135
111,9,1,.5600000000000001,.5130909
111,9,2,.54,.5157625
111,9,3,.59,.545934
112,9,1,.14,.091931
112,9,2,.09,.0742222
112,9,3,.1,.1004457
113,22,1,.14,.1833279
113,22,2,.17,.0912453
113,22,3,.23,.1212545
113,9,1,.14,.1023108
113,9,2,.15,.0673125
113,9,3,.14,.0526154
114,22,1,.39,
114,22,2,.39,
114,22,3,.34,
114,9,1,.38,.4004565
114,9,2,.38,.42544
114,9,3,.4,.3933333
201,10,1,.98,
201,10,2,1.2,
201,10,3,1.12,
201,4,1,,4.498
201,4,2,,4.498
201,4,3,,4.498
201,5,1,,11.7808
201,5,2,,11.7808
201,5,3,,11.7808
201,9,1,.3,.2996154
201,9,2,.32,.31516
201,9,3,.36,.3602045
201,9A,1,.13,.177
201,9A,2,.18,.2442121
201,9A,3,.21,.2387826
201,9B,1,.3,.2351316
201,9B,2,.32,.3354359
201,9B,3,.36,.3708824
201,9C,1,.46,.3521111
201,9C,2,.5600000000000001,.4837778
201,9C,3,.68,.618371
202,4,1,4.01,4.33646
202,4,2,4.01,4.33646
202,4,3,4.01,4.33646
202,4A,1,4.01,4.008333
202,4A,2,4.01,4.008333
202,4A,3,4.01,4.008333
202,4B,1,10.03,10.025
202,4B,2,10.03,10.025
202,4B,3,10.03,10.025
202,5,1,,9.69
202,5,2,,9.69
202,5,3,,9.69
202,6,1,,.2449
202,6,2,,.2449
202,6,3,,.2449
202,7,1,.2,.4405
202,7,2,.26,.4405
202,7,3,.21,.4405
203,10,1,1.11,1.1058
203,10,2,1.82,1.819214
203,10,3,1.26,1.2637
203,10A,1,.7,1.264487
203,10A,2,1.18,.8437059
203,10A,3,.73,.7028621
203,10B,1,1.11,1.687275
203,10B,2,1.82,1.26125
203,10B,3,1.26,1.064908
203,10C,1,2.04,2.224662
203,10C,2,2.86,1.68322
203,10C,3,1.71,1.739698
203,4,1,4.79,4.793
203,4,2,4.79,4.793
203,4,3,4.79,4.793
203,4B,1,11.55,11.548
203,4B,2,11.55,11.548
203,4B,3,11.55,11.548
203,5,1,,10.87492
203,5,2,,10.87492
203,5,3,,10.87492
203,9,1,.15,.1465
203,9,2,.1,.100375
203,9,3,.19,.192625
203,9A,1,.07,.1275
203,9A,2,.03,.3309286
203,9A,3,.1,.7803333
203,9B,1,.15,.249
203,9B,2,.1,.5579091
203,9B,3,.19,.8979091
203,9C,1,.34,.3878947
203,9C,2,.3,.405
203,9C,3,.39,1.312905
204,10,1,1.16,1.162875
204,10,2,1.99,1.991583
204,10,3,1.11,1.114
204,10A,1,.73,1.14095
204,10A,2,1.16,1.029222
204,10A,3,.83,1.062241
204,10B,1,1.16,1.569714
204,10B,2,1.99,1.142563
204,10B,3,1.11,1.206151
204,10C,1,1.98,2.120042
204,10C,2,3.21,1.6156
204,10C,3,1.72,1.497958
204,4,1,,6.1094
204,4,2,,6.1094
204,4,3,,6.1094
204,9,1,.1,.0988
204,9,2,.07,.070125
204,9,3,.21,.2135
204,9A,1,.04,.142
204,9A,2,.02,.448
204,9A,3,.1,.414
204,9B,1,.1,.158
204,9B,2,.07,.773
204,9B,3,.21,1.1815
204,9C,1,.24,.183
204,9C,2,.19,.472
204,9C,3,.41,1.505
205,10,1,1.01,1.103829
205,10,2,.97,.5204820999999999
205,10,3,.87,.5942727
205,21,1,6.65,6.6465
205,21,2,6.97,6.96775
205,21,3,5.36,5.3615
205,4,1,3.01,5.1704
205,4,2,3.23,5.502429
205,4,3,4.49,4.8508
205,4A,1,3.01,3.005667
205,4A,2,3.23,3.231714
205,4A,3,4.49,4.494667
205,4B,1,9.31,9.311429
205,4B,2,8.24,8.2447
205,4B,3,6.71,6.70875
205,4C,1,18.02,18.0245
205,4C,2,19.62,19.62
205,4C,3,17.36,17.3625
205,5,1,18.02,18.0245
205,5,2,19.62,19.62
205,5,3,17.36,17.3625
206,22,1,.03,.0525769
206,22,2,.08,.1138
206,22,3,.04,.04725
206,9,1,.03,
206,9,2,.03,
206,9,3,.03,
207,10,1,,1.671348
207,10,2,,1.671348
207,10,3,,1.671348
207,4,1,,2.02
207,4,2,,2.02
207,4,3,,2.02
207,8,1,,2.0859
207,8,2,,2.0859
207,8,3,,2.0859
207,8A,1,1.68,1.683167
207,8A,2,1.55,1.5525
207,8A,3,1.36,1.3565
207,8C,1,9.42,9.420999999999999
207,8C,2,9.42,9.420999999999999
207,8C,3,9.42,9.420999999999999
207,9,1,.12,.25847
207,9,2,.12,.25847
207,9,3,.12,.25847
208,10,1,1.25,1.246
208,10,2,1.25,1.246
